user_id,cohort_id,educational_status,session_count,approved_projects
14,9,SUSPENDED,,
14,31,SUSPENDED,,
14,4,SUSPENDED,,
15,9,GRADUATED,,
16,9,GRADUATED,,
17,9,GRADUATED,,
18,9,GRADUATED,,
19,9,GRADUATED,,
20,9,GRADUATED,,
21,9,GRADUATED,,
22,9,GRADUATED,,
23,9,GRADUATED,,
24,11,GRADUATED,,
25,3,GRADUATED,,
26,3,GRADUATED,,
27,3,GRADUATED,,
28,3,GRADUATED,,
29,3,GRADUATED,,
29,48,GRADUATED,,
30,3,GRADUATED,,
31,3,GRADUATED,,
32,3,GRADUATED,,
33,66,GRADUATED,,
33,90,GRADUATED,,
34,3,GRADUATED,,
35,3,GRADUATED,,
36,3,GRADUATED,,
37,3,GRADUATED,,
38,3,GRADUATED,,
39,3,GRADUATED,,
40,3,GRADUATED,,
41,3,GRADUATED,,
42,3,GRADUATED,,
44,3,GRADUATED,,
45,3,GRADUATED,,
46,5,GRADUATED,,
47,5,GRADUATED,,
48,5,GRADUATED,,
49,5,GRADUATED,,
50,5,GRADUATED,,
51,5,GRADUATED,,
52,5,GRADUATED,,
53,5,GRADUATED,,
54,5,GRADUATED,,
55,5,GRADUATED,,
56,5,GRADUATED,,
57,5,GRADUATED,,
58,5,GRADUATED,,
59,5,GRADUATED,,
60,5,GRADUATED,,
61,5,GRADUATED,,
62,5,GRADUATED,,
63,5,GRADUATED,,
64,6,GRADUATED,,
65,6,GRADUATED,,
66,6,GRADUATED,,
67,6,GRADUATED,,
68,6,GRADUATED,,
69,6,GRADUATED,,
70,6,GRADUATED,,
71,6,GRADUATED,,
72,6,GRADUATED,,
73,6,POSTPONED,,
73,60,POSTPONED,,
73,53,POSTPONED,,
74,6,GRADUATED,,
75,6,GRADUATED,,
76,6,GRADUATED,,
6337,407,DROPPED,1,
43,3,GRADUATED,,
6005,483,ACTIVE,3,
5280,520,ACTIVE,22,
6435,541,ACTIVE,,
79,9,GRADUATED,,
80,11,GRADUATED,,
81,11,GRADUATED,,
82,11,GRADUATED,,
82,35,GRADUATED,,
83,11,GRADUATED,,
84,11,GRADUATED,,
85,11,GRADUATED,,
86,11,GRADUATED,,
87,11,GRADUATED,,
88,11,GRADUATED,,
89,11,GRADUATED,,
90,11,GRADUATED,,
91,11,GRADUATED,,
92,11,GRADUATED,,
93,11,GRADUATED,,
94,11,GRADUATED,,
95,11,GRADUATED,,
96,11,GRADUATED,,
97,10,GRADUATED,,
98,10,GRADUATED,,
99,10,GRADUATED,,
100,10,GRADUATED,,
101,10,GRADUATED,,
15,19,ACTIVE,,
102,10,GRADUATED,,
103,10,GRADUATED,,
104,10,GRADUATED,,
105,10,GRADUATED,,
106,10,GRADUATED,,
107,10,GRADUATED,,
108,10,GRADUATED,,
109,10,GRADUATED,,
110,10,GRADUATED,,
111,10,GRADUATED,,
112,10,GRADUATED,,
113,11,GRADUATED,,
114,12,ACTIVE,,
115,12,ACTIVE,,
116,12,ACTIVE,,
117,12,ACTIVE,,
118,12,ACTIVE,,
119,12,ACTIVE,,
120,12,ACTIVE,,
121,12,ACTIVE,,
122,12,ACTIVE,,
123,12,ACTIVE,,
124,12,ACTIVE,,
125,12,ACTIVE,,
126,12,ACTIVE,,
127,12,ACTIVE,,
128,12,ACTIVE,,
129,12,ACTIVE,,
130,12,ACTIVE,,
131,12,ACTIVE,2,
132,12,ACTIVE,,
