event_date,event_timestamp,event_name,event_params.key,event_params.value.string_value,event_params.value.int_value,event_params.value.float_value,event_params.value.double_value,event_previous_timestamp,event_value_in_usd,event_bundle_sequence_id,event_server_timestamp_offset,user_id,user_pseudo_id,privacy_info.analytics_storage,privacy_info.ads_storage,privacy_info.uses_transient_token,user_properties.key,user_properties.value.string_value,user_properties.value.int_value,user_properties.value.float_value,user_properties.value.double_value,user_properties.value.set_timestamp_micros,user_first_touch_timestamp,user_ltv.revenue,user_ltv.currency,device.category,device.mobile_brand_name,device.mobile_model_name,device.mobile_marketing_name,device.mobile_os_hardware_model,device.operating_system,device.operating_system_version,device.vendor_id,device.advertising_id,device.language,device.is_limited_ad_tracking,device.time_zone_offset_seconds,device.browser,device.browser_version,device.web_info.browser,device.web_info.browser_version,device.web_info.hostname,geo.continent,geo.country,geo.region,geo.city,geo.sub_continent,geo.metro,app_info.id,app_info.version,app_info.install_store,app_info.firebase_app_id,app_info.install_source,traffic_source.name,traffic_source.medium,traffic_source.source,stream_id,platform,event_dimensions.hostname,ecommerce.total_item_quantity,ecommerce.purchase_revenue_in_usd,ecommerce.purchase_revenue,ecommerce.refund_value_in_usd,ecommerce.refund_value,ecommerce.shipping_value_in_usd,ecommerce.shipping_value,ecommerce.tax_value_in_usd,ecommerce.tax_value,ecommerce.unique_items,ecommerce.transaction_id,items.item_id,items.item_name,items.item_brand,items.item_variant,items.item_category,items.item_category2,items.item_category3,items.item_category4,items.item_category5,items.price_in_usd,items.price,items.quantity,items.item_revenue_in_usd,items.item_revenue,items.item_refund_in_usd,items.item_refund,items.coupon,items.affiliation,items.location_id,items.item_list_id,items.item_list_name,items.item_list_index,items.promotion_id,items.promotion_name,items.creative_name,items.creative_slot,collected_traffic_source.manual_campaign_id,collected_traffic_source.manual_campaign_name,collected_traffic_source.manual_source,collected_traffic_source.manual_medium,collected_traffic_source.manual_term,collected_traffic_source.manual_content,collected_traffic_source.gclid,collected_traffic_source.dclid,collected_traffic_source.srsltid,is_active_user
20230808,1.69147E+15,session_start,page_location,https://4geeksacademy.com/us/index?utm_source=google&utm_medium=cpc&utm_campaign=13529547004&utm_content=129223198448&utm_term=&gclid=Cj0KCQjwzdOlBhCNARIsAPMwjbwCpqLjWts765S0PWNkZ7m1rG_yxYotT0YEGN4xni96doLcAdhvSjwaAmxbEALw_wcB,,,,,,1733783484,,,190577647.1689364494,Yes,Yes,No,,,,,,,1.68936E+15,0,USD,mobile,LG,LM-K410,K41S,,Android,Android 10,,,en-us,No,,,,Chrome,97.0.4692.98,4geeksacademy.com,Americas,Cuba,,Havana,Caribbean,(not set),,,,,,**LP - Smart - USA - Discovery,cpc,google,3463457828,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
,,,page_title,"Miami Coding Bootcamp, Madrid España, Santiago de Chile · 4Geeks Academy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,1691467233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230808,1.69152E+15,first_visit,page_title,Academia de Programación Online · 4Geeks Academy,,,,,,-773458540,,,1637663162.1691524849,Yes,Yes,No,,,,,,,1.69152E+15,0,USD,mobile,,,,,Android,Android 11,,,es-us,No,,,,Opera,76.2.4027.73374,4geeksacademy.com,Europe,Netherlands,,,Western Europe,(not set),,,,,,(direct),(none),(direct),3463457828,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
,,,ga_session_id,,1691524848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://4geeksacademy.com/es/landing/academia-programacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230808,1.69152E+15,session_start,ga_session_number,,1,,,,,-773458540,,,1637663162.1691524849,Yes,Yes,No,,,,,,,1.69152E+15,0,USD,mobile,,,,,Android,Android 11,,,es-us,No,,,,Opera,76.2.4027.73374,4geeksacademy.com,Europe,Netherlands,,,Western Europe,(not set),,,,,,(direct),(none),(direct),3463457828,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
